"","licensee","total"
"275","Marine Harvest",2.4
"276","Marine Harvest",0
"277","Marine Harvest",1.1
"278","Marine Harvest",1.9
"279","Marine Harvest",2.2
"280","Marine Harvest",3.9
"281","Marine Harvest",6.1
"282","Marine Harvest",6.2
"283","Marine Harvest",0.3
"284","Marine Harvest",1.2
"285","Marine Harvest",6.2
"286","Marine Harvest",3.5
"287","Marine Harvest",1.3
"288","Marine Harvest",0
"289","Marine Harvest",0.1
"290","Cermaq",0.5
"291","Cermaq",0.9
"292","Cermaq",0.7
"293","Cermaq",0.6
"294","Cermaq",1.3
"295","Cermaq",1.7
"296","Cermaq",1
"297","Cermaq",1.4
"299","Cermaq",7.4
"300","Cermaq",1.5
"303","Grieg",0.7
"304","Grieg",0.8
"305","Grieg",2.2
"308","Grieg",6.9
"309","Grieg",2.6
"310","Grieg",1.1
"312","Cermaq",0.5
"313","Cermaq",0.2
"314","Cermaq",1.1
"315","Grieg",0.2
"316","Marine Harvest",5.1
"317","Marine Harvest",3.3
"318","Marine Harvest",0.5
"319","Marine Harvest",0.9
"320","Marine Harvest",4.1
"321","Cermaq",3.7
"322","Cermaq",0.4
"323","Cermaq",0
"324","Cermaq",0
"325","Grieg",0.3
"326","Marine Harvest",0.7
"327","Marine Harvest",7.3
"328","Marine Harvest",0.2
"329","Marine Harvest",1
"330","Marine Harvest",0.4
"331","Marine Harvest",2.6
"332","Marine Harvest",0.3
"333","Marine Harvest",1
"334","Marine Harvest",2.3
"335","Marine Harvest",2
"336","Marine Harvest",15.5
"338","Marine Harvest",1.1
"339","Marine Harvest",1
"340","Marine Harvest",2.4
"341","Marine Harvest",3
"342","Marine Harvest",1.6
"343","Marine Harvest",6.5
"344","Marine Harvest",0.8
"345","Cermaq",0.3
"346","Cermaq",1.3
"348","Cermaq",0.4
"349","Cermaq",2.2
"351","Cermaq",0.6
"352","Cermaq",1.7
"354","Cermaq",13.3
"355","Cermaq",1
"358","Grieg",6.8
"359","Grieg",1.9
"363","Grieg",0.6
"365","Grieg",0.7
"367","Cermaq",0.3
"368","Cermaq",0.3
"369","Cermaq",0.4
"370","Grieg",0.5
"371","Marine Harvest",4
"372","Marine Harvest",3.6
"373","Marine Harvest",0.8
"374","Marine Harvest",0.8
"376","Cermaq",1.2
"377","Cermaq",0.2
"378","Cermaq",0
"379","Cermaq",0.1
"380","Grieg",0.2
"382","Marine Harvest",0.1
"383","Marine Harvest",2
"384","Marine Harvest",0.2
"385","Marine Harvest",1.3
"386","Marine Harvest",0.4
"387","Marine Harvest",1.5
"388","Marine Harvest",0
"389","Marine Harvest",1.6
"390","Marine Harvest",3.3
"391","Marine Harvest",2.7
"392","Marine Harvest",15.8
"393","Marine Harvest",2.5
"394","Marine Harvest",0.7
"395","Marine Harvest",3
"396","Marine Harvest",2.3
"397","Marine Harvest",3.3
"398","Marine Harvest",3.4
"400","Marine Harvest",1.1
